HomeTeam,AwayTeam,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeTeam_label,AwayTeam_label,FullTimeResult_label,HalfTimeResult_label
Charlton,Man City,A,1,2,A,12,26,0,0
Birmingham,West Ham,A,1,2,A,2,43,0,0
Birmingham,Fulham,H,0,0,D,2,18,2,1
Blackburn,West Ham,H,0,1,A,3,43,2,0
Bolton,Aston Villa,D,0,0,D,5,1,1,1
Charlton,Sunderland,H,1,0,H,12,38,2,2
Chelsea,Wigan,H,0,0,D,13,44,2,1
Newcastle,Arsenal,H,0,0,D,29,0,2,1
Man United,Everton,D,1,1,D,27,17,1,1
Tottenham,Portsmouth,H,0,1,A,40,32,2,0
Everton,West Ham,A,1,1,D,17,43,0,1
Man United,Wigan,H,2,0,H,27,44,2,2
Man City,Birmingham,H,3,0,H,26,2,2,2
Portsmouth,West Brom,H,0,0,D,32,42,2,1
West Ham,Newcastle,A,1,2,A,43,29,0,0
Wigan,Charlton,H,1,0,H,44,12,2,2
Arsenal,Chelsea,A,0,1,A,0,13,0,0
Middlesbrough,Tottenham,D,2,1,H,28,40,1,2
Charlton,Arsenal,A,0,0,D,12,0,0,1
Liverpool,Newcastle,H,2,0,H,24,29,2,2
Man United,West Brom,H,2,0,H,27,42,2,2
Portsmouth,West Ham,D,1,0,H,32,43,1,2
Sunderland,Bolton,D,0,0,D,38,5,1,1
Tottenham,Birmingham,H,0,0,D,40,2,2,1
Wigan,Man City,H,3,1,H,44,26,2,2
Arsenal,Portsmouth,H,4,0,H,0,32,2,2
Birmingham,Man United,D,1,1,D,2,27,1,1
Fulham,Aston Villa,D,2,1,H,18,1,1,2
West Brom,Tottenham,H,1,0,H,42,40,2,2
West Ham,Wigan,A,0,2,A,43,44,0,0
Charlton,West Ham,H,1,0,H,12,43,2,2
Chelsea,Birmingham,H,2,0,H,13,2,2,2
Man United,Bolton,H,2,1,H,27,5,2,2
Middlesbrough,Man City,D,0,0,D,28,26,1,1
Portsmouth,Fulham,H,1,0,H,32,18,2,2
Sunderland,Everton,A,0,0,D,38,17,0,1
Wigan,Blackburn,A,0,1,A,44,3,0,0
Birmingham,Wigan,H,2,0,H,2,44,2,2
Blackburn,Portsmouth,H,2,1,H,3,32,2,2
Everton,Charlton,H,2,1,H,17,12,2,2
Fulham,Sunderland,H,1,1,D,18,38,2,1
Newcastle,Middlesbrough,D,1,0,H,29,28,1,2
West Brom,Aston Villa,A,0,0,D,42,1,0,1
West Ham,Chelsea,A,0,1,A,43,13,0,0
Man City,Tottenham,A,0,1,A,26,40,0,0
Arsenal,Middlesbrough,H,4,0,H,0,28,2,2
Aston Villa,West Ham,A,1,0,H,1,43,0,2
Fulham,Newcastle,H,0,0,D,18,29,2,1
Man City,Man United,H,2,0,H,26,27,2,2
Portsmouth,Everton,A,0,1,A,32,17,0,0
Sunderland,Chelsea,A,1,1,D,38,13,0,1
Wigan,West Brom,A,0,0,D,44,42,0,1
Birmingham,Portsmouth,H,2,0,H,2,32,2,2
Bolton,Man City,H,2,0,H,5,26,2,2
Everton,Arsenal,H,1,0,H,17,0,2,2
Middlesbrough,Wigan,A,0,2,A,28,44,0,0
West Brom,Sunderland,A,0,0,D,42,38,0,1
Chelsea,Charlton,D,1,0,H,13,12,1,2
Man United,Liverpool,H,0,0,D,27,24,2,1
West Ham,Fulham,H,2,0,H,43,18,2,2
Charlton,West Brom,D,0,0,D,12,42,1,1
Fulham,Tottenham,H,0,0,D,18,40,2,1
Wigan,Everton,D,1,1,D,44,17,1,1
Arsenal,West Ham,A,1,2,A,0,43,0,0
Aston Villa,Chelsea,D,0,1,A,1,13,1,0
Blackburn,Man United,H,3,1,H,3,27,2,2
Liverpool,Birmingham,D,0,0,D,24,2,1,1
Man City,Newcastle,H,2,0,H,26,29,2,2
Portsmouth,Bolton,D,0,0,D,32,5,1,1
Bolton,Wigan,D,0,0,D,5,44,1,1
Everton,Man City,H,1,0,H,17,26,2,2
Man United,Fulham,H,3,2,H,27,18,2,2
Middlesbrough,Aston Villa,A,0,2,A,28,1,0,0
Newcastle,Portsmouth,H,1,0,H,29,32,2,2
West Brom,Blackburn,H,2,0,H,42,3,2,2
West Ham,Sunderland,H,0,0,D,43,38,2,1
Chelsea,Liverpool,H,1,0,H,13,24,2,2
Tottenham,Charlton,H,2,0,H,40,12,2,2
Charlton,Liverpool,H,2,0,H,12,24,2,2
Arsenal,Bolton,D,0,1,A,0,5,1,0
Aston Villa,Newcastle,A,1,2,A,1,29,0,0
Everton,Blackburn,H,1,0,H,17,3,2,2
Fulham,West Brom,H,2,0,H,18,42,2,2
Middlesbrough,Chelsea,H,2,0,H,28,13,2,2
Portsmouth,Man United,A,0,3,A,32,27,0,0
Wigan,Liverpool,A,0,1,A,44,24,0,0
Man City,Charlton,H,1,0,H,26,12,2,2
Sunderland,Tottenham,D,0,1,A,38,40,1,0
West Ham,Birmingham,H,1,0,H,43,2,2,2
Liverpool,Arsenal,H,0,0,D,24,0,2,1
Blackburn,Sunderland,H,1,0,H,3,38,2,2
Tottenham,Wigan,D,1,1,D,40,44,1,1
Charlton,Aston Villa,D,0,0,D,12,1,1,1
Newcastle,Everton,H,0,0,D,29,17,2,1
Bolton,Fulham,H,1,1,D,5,18,2,1
West Brom,Middlesbrough,A,0,2,A,42,28,0,0
Fulham,Arsenal,A,0,2,A,18,0,0,0
Liverpool,Charlton,D,0,0,D,24,12,1,1
Newcastle,Bolton,H,2,0,H,29,5,2,2
West Brom,Chelsea,A,0,0,D,42,13,0,1
West Ham,Everton,D,2,1,H,43,17,1,2
Man City,Sunderland,H,2,1,H,26,38,2,2
Tottenham,Blackburn,H,2,1,H,40,3,2,2
Wigan,Man United,A,0,0,D,44,27,0,1
Birmingham,West Brom,D,0,0,D,2,42,1,1
Blackburn,Aston Villa,H,0,0,D,3,1,2,1
Bolton,West Ham,H,3,0,H,5,43,2,2
Chelsea,Tottenham,H,1,1,D,13,40,2,1
Portsmouth,Man City,H,0,0,D,32,26,2,1
Sunderland,Wigan,A,0,1,A,38,44,0,0
Man United,Newcastle,H,2,0,H,27,29,2,2
Liverpool,Fulham,H,2,1,H,24,18,2,2
Birmingham,Tottenham,A,0,0,D,2,40,0,1
Blackburn,Middlesbrough,H,2,1,H,3,28,2,2
Bolton,Sunderland,H,0,0,D,5,38,2,1
Everton,Aston Villa,H,3,0,H,17,1,2,2
Man City,Wigan,A,0,0,D,26,44,0,1
West Brom,Man United,A,0,1,A,42,27,0,0
West Ham,Portsmouth,A,0,3,A,43,32,0,0
Fulham,Chelsea,H,1,0,H,18,13,2,2
Newcastle,Liverpool,A,1,2,A,29,24,0,0
Aston Villa,Fulham,D,0,0,D,1,18,1,1
Liverpool,Everton,H,1,0,H,24,17,2,2
Sunderland,Blackburn,A,0,1,A,38,3,0,0
Wigan,West Ham,A,1,0,H,44,43,0,2
Charlton,Newcastle,H,2,1,H,12,29,2,2
Man United,Birmingham,H,2,0,H,27,2,2,2
Middlesbrough,Bolton,H,2,1,H,28,5,2,2
Tottenham,West Brom,H,0,1,A,40,42,2,0
Man United,West Ham,H,1,0,H,27,43,2,2
Arsenal,Aston Villa,H,2,0,H,0,1,2,2
Bolton,Man United,A,1,1,D,5,27,0,1
Everton,Sunderland,D,2,1,H,17,38,1,2
Fulham,Portsmouth,A,1,2,A,18,32,0,0
Newcastle,Tottenham,H,3,1,H,29,40,2,2
West Brom,Liverpool,A,0,2,A,42,24,0,0
West Ham,Charlton,D,0,0,D,43,12,1,1
Blackburn,Wigan,D,0,0,D,3,44,1,1
Charlton,Everton,D,0,0,D,12,17,1,1
Portsmouth,Blackburn,D,1,1,D,32,3,1,1
Tottenham,Man City,H,1,0,H,40,26,2,2
Wigan,Birmingham,D,0,0,D,44,2,1,1
Aston Villa,West Brom,D,0,0,D,1,42,1,1
Chelsea,West Ham,H,2,1,H,13,43,2,2
Middlesbrough,Newcastle,A,0,2,A,28,29,0,0
Portsmouth,Arsenal,D,0,1,A,32,0,1,0
Man United,Sunderland,D,0,0,D,27,38,1,1
Arsenal,West Brom,H,1,0,H,0,42,2,2
Bolton,Chelsea,A,0,1,A,5,13,0,0
Everton,Tottenham,A,0,1,A,17,40,0,0
Fulham,Charlton,H,2,1,H,18,12,2,2
Newcastle,Wigan,H,2,1,H,29,44,2,2
Portsmouth,Middlesbrough,H,0,0,D,32,28,2,1
West Ham,Man City,H,1,0,H,43,26,2,2
Aston Villa,Birmingham,H,1,1,D,1,2,2,1
Blackburn,Liverpool,A,0,1,A,3,24,0,0
Charlton,Portsmouth,H,0,1,A,12,32,2,0
Middlesbrough,West Ham,H,1,0,H,28,43,2,2
Sunderland,Newcastle,A,1,0,H,38,29,0,2
West Brom,Bolton,D,0,0,D,42,5,1,1
Wigan,Aston Villa,H,1,0,H,44,1,2,2
Birmingham,Blackburn,H,0,0,D,2,3,2,1
Arsenal,Tottenham,D,0,0,D,0,40,1,1
Bolton,Charlton,H,3,0,H,5,12,2,2
Newcastle,West Brom,H,2,0,H,29,42,2,2
Portsmouth,Sunderland,H,0,0,D,32,38,2,1
Fulham,Wigan,H,1,0,H,18,44,2,2
Aston Villa,Man City,A,0,0,D,1,26,0,1
West Ham,Liverpool,A,0,1,A,43,24,0,0
Birmingham,Newcastle,D,0,0,D,2,29,1,1
Charlton,Blackburn,A,0,1,A,12,3,0,0
Man City,Fulham,A,0,0,D,26,18,0,1
Middlesbrough,Everton,A,0,0,D,28,17,0,1
Wigan,Portsmouth,A,1,0,H,44,32,0,2
Man United,Middlesbrough,D,0,0,D,27,28,1,1
Sunderland,Arsenal,A,0,3,A,38,0,0,0
Blackburn,Chelsea,H,1,0,H,3,13,2,2
Man City,Arsenal,A,1,1,D,26,0,0,1
Sunderland,Fulham,H,1,0,H,38,18,2,2
Arsenal,Wigan,H,2,2,D,0,44,2,1
Aston Villa,Sunderland,H,1,0,H,1,38,2,2
Bolton,Birmingham,H,0,0,D,5,2,2,1
Everton,West Brom,D,0,1,A,17,42,1,0
Fulham,Middlesbrough,H,0,0,D,18,28,2,1
Man United,Charlton,H,3,0,H,27,12,2,2
Newcastle,Chelsea,H,0,0,D,29,13,2,1
Portsmouth,Liverpool,A,0,0,D,32,24,0,1
West Ham,Tottenham,H,1,1,D,43,40,2,1
Arsenal,Aston Villa,D,0,0,D,0,1,1,1
Bolton,Tottenham,H,2,0,H,5,40,2,2
Everton,Watford,H,1,0,H,17,41,2,2
Newcastle,Wigan,H,1,0,H,29,44,2,2
Portsmouth,Blackburn,H,1,0,H,32,3,2,2
Reading,Middlesbrough,H,2,2,D,34,28,2,1
Sheffield United,Liverpool,D,0,0,D,35,24,1,1
West Ham,Charlton,H,0,1,A,43,12,2,0
Man United,Fulham,H,4,1,H,27,18,2,2
Tottenham,Sheffield United,H,2,0,H,40,35,2,2
Watford,West Ham,D,0,0,D,41,43,1,1
Aston Villa,Reading,H,1,1,D,1,34,2,1
Fulham,Bolton,D,0,0,D,18,5,1,1
Man City,Portsmouth,D,0,0,D,26,32,1,1
Middlesbrough,Chelsea,H,0,1,A,28,13,2,0
Charlton,Bolton,H,0,0,D,12,5,2,1
Fulham,Sheffield United,H,1,0,H,18,35,2,2
Liverpool,West Ham,H,2,1,H,24,43,2,2
Man City,Arsenal,H,1,0,H,26,0,2,2
Tottenham,Everton,A,0,0,D,40,17,0,1
Watford,Man United,A,1,1,D,41,27,0,1
Wigan,Reading,H,1,0,H,44,34,2,2
Aston Villa,Newcastle,H,2,0,H,1,29,2,2
Blackburn,Chelsea,A,0,0,D,3,13,0,1
Middlesbrough,Portsmouth,A,0,1,A,28,32,0,0
Arsenal,Middlesbrough,D,0,1,A,0,28,1,0
Bolton,Watford,H,0,0,D,5,41,2,1
Everton,Liverpool,H,2,0,H,17,24,2,2
Newcastle,Fulham,A,0,0,D,29,18,0,1
Portsmouth,Wigan,H,0,0,D,32,44,2,1
Sheffield United,Blackburn,D,0,0,D,35,3,1,1
Reading,Man City,H,1,0,H,34,26,2,2
Charlton,Portsmouth,A,0,0,D,12,32,0,1
Everton,Wigan,D,0,0,D,17,44,1,1
Sheffield United,Reading,A,0,2,A,35,34,0,0
Watford,Aston Villa,D,0,0,D,41,1,1,1
Blackburn,Man City,H,2,2,D,3,26,2,1
Tottenham,Fulham,D,0,0,D,40,18,1,1
West Ham,Newcastle,A,0,0,D,43,29,0,1
Arsenal,Sheffield United,H,0,0,D,0,35,2,1
Man City,West Ham,H,0,0,D,26,43,2,1
Reading,Man United,D,0,0,D,34,27,1,1
Wigan,Watford,D,1,0,H,44,41,1,2
Newcastle,Everton,D,1,1,D,29,17,1,1
Portsmouth,Bolton,A,0,1,A,32,5,0,0
Chelsea,Aston Villa,D,1,1,D,13,1,1,1
Everton,Man City,D,1,0,H,17,26,1,2
Sheffield United,Middlesbrough,H,1,0,H,35,28,2,2
Blackburn,Wigan,H,1,1,D,3,44,2,1
West Ham,Reading,A,0,1,A,43,34,0,0
Watford,Fulham,D,1,0,H,41,18,1,2
Arsenal,Watford,H,2,0,H,0,41,2,2
Aston Villa,Tottenham,D,0,0,D,1,40,1,1
Liverpool,Blackburn,D,0,1,A,24,3,1,0
Man City,Sheffield United,D,0,0,D,26,35,1,1
Portsmouth,West Ham,H,1,0,H,32,43,2,2
Reading,Chelsea,A,0,1,A,34,13,0,0
Wigan,Man United,A,1,0,H,44,27,0,2
Newcastle,Bolton,A,1,0,H,29,5,0,2
Fulham,Charlton,H,0,0,D,18,12,2,1
Aston Villa,Fulham,D,1,1,D,1,18,1,1
Charlton,Watford,D,0,0,D,12,41,1,1
Everton,Sheffield United,H,2,0,H,17,35,2,2
Wigan,Man City,H,2,0,H,44,26,2,2
Reading,Arsenal,A,0,2,A,34,0,0,0
Tottenham,West Ham,H,1,0,H,40,43,2,2
Arsenal,Everton,D,0,1,A,0,17,1,0
Fulham,Wigan,A,0,0,D,18,44,0,1
Portsmouth,Reading,H,1,0,H,32,34,2,2
Sheffield United,Chelsea,A,0,1,A,35,13,0,0
Watford,Tottenham,D,0,0,D,41,40,1,1
Man City,Middlesbrough,H,1,0,H,26,28,2,2
Bolton,Wigan,A,0,0,D,5,44,0,1
Charlton,Man City,H,1,0,H,12,26,2,2
Liverpool,Reading,H,1,0,H,24,34,2,2
Man United,Portsmouth,H,2,0,H,27,32,2,2
Newcastle,Sheffield United,A,0,0,D,29,35,0,1
Watford,Middlesbrough,H,1,0,H,41,28,2,2
Tottenham,Chelsea,H,1,1,D,40,13,2,1
West Ham,Arsenal,H,0,0,D,43,0,2,1
Blackburn,Man United,A,0,0,D,3,27,0,1
Chelsea,Watford,H,2,0,H,13,41,2,2
Everton,Aston Villa,A,0,1,A,17,1,0,0
Man City,Newcastle,D,0,0,D,26,29,1,1
Middlesbrough,West Ham,H,0,0,D,28,43,2,1
Sheffield United,Bolton,D,0,1,A,35,5,1,0
Wigan,Charlton,H,2,0,H,44,12,2,2
Reading,Tottenham,H,2,1,H,34,40,2,2
Arsenal,Newcastle,D,0,1,A,0,29,1,0
Everton,Bolton,H,0,0,D,17,5,2,1
Man City,Fulham,H,3,0,H,26,18,2,2
Portsmouth,Watford,H,1,1,D,32,41,2,1
Reading,Charlton,H,1,0,H,34,12,2,2
Sheffield United,Man United,A,1,1,D,35,27,0,1
Blackburn,Tottenham,D,1,0,H,3,40,1,2
Wigan,Aston Villa,D,0,0,D,44,1,1,1
Aston Villa,Middlesbrough,D,1,1,D,1,28,1,1
Bolton,Arsenal,H,2,1,H,5,0,2,2
Fulham,Reading,A,0,1,A,18,34,0,0
Liverpool,Man City,H,0,0,D,24,26,2,1
West Ham,Sheffield United,H,1,0,H,43,35,2,2
Man United,Chelsea,D,1,0,H,27,13,1,2
Newcastle,Portsmouth,H,0,0,D,29,32,2,1
Tottenham,Wigan,H,2,1,H,40,44,2,2
Watford,Sheffield United,A,0,0,D,41,35,0,1
Aston Villa,Man City,A,0,2,A,1,26,0,0
Fulham,Arsenal,H,2,1,H,18,0,2,2
Man United,Everton,H,1,0,H,27,17,2,2
Arsenal,Tottenham,H,2,0,H,0,40,2,2
Blackburn,Fulham,H,2,0,H,3,18,2,2
Portsmouth,Aston Villa,D,0,1,A,32,1,1,0
Reading,Bolton,H,1,0,H,34,5,2,2
Sheffield United,Charlton,H,0,1,A,35,12,2,0
Wigan,Liverpool,A,0,4,A,44,24,0,0
Everton,West Ham,H,0,0,D,17,43,2,1
Man City,Watford,D,0,0,D,26,41,1,1
Newcastle,Reading,H,1,2,A,29,34,2,0
West Ham,Wigan,A,0,0,D,43,44,0,1
Blackburn,Newcastle,A,0,2,A,3,29,0,0
Liverpool,Fulham,H,0,0,D,24,18,2,1
Middlesbrough,Wigan,D,0,1,A,28,44,1,0
Portsmouth,Everton,H,2,0,H,32,17,2,2
Tottenham,Charlton,H,2,1,H,40,12,2,2
Watford,Reading,D,0,0,D,41,34,1,1
Sheffield United,Aston Villa,D,0,1,A,35,1,1,0
Wigan,Arsenal,A,0,0,D,44,0,0,1
Arsenal,Portsmouth,D,0,1,A,0,32,1,0
Aston Villa,Bolton,A,0,0,D,1,5,0,1
Charlton,Liverpool,A,0,1,A,12,24,0,0
Newcastle,Watford,H,0,0,D,29,41,2,1
Reading,Blackburn,A,1,0,H,34,3,0,2
Wigan,Sheffield United,A,0,1,A,44,35,0,0
Everton,Chelsea,A,1,0,H,17,13,0,2
Man City,Tottenham,A,0,2,A,26,40,0,0
West Ham,Man United,H,0,0,D,43,27,2,1
Fulham,Middlesbrough,H,2,0,H,18,28,2,2
Arsenal,Blackburn,H,3,1,H,0,3,2,2
Fulham,West Ham,D,0,0,D,18,43,1,1
Liverpool,Watford,H,0,0,D,24,41,2,1
Man City,Bolton,A,0,2,A,26,5,0,0
Middlesbrough,Charlton,H,1,0,H,28,12,2,2
Portsmouth,Sheffield United,H,0,1,A,32,35,2,0
Reading,Everton,A,0,1,A,34,17,0,0
Wigan,Chelsea,A,1,2,A,44,13,0,0
Blackburn,Liverpool,H,0,0,D,3,24,2,1
Bolton,Newcastle,H,1,1,D,5,29,2,1
Chelsea,Reading,D,1,0,H,13,34,1,2
Man United,Wigan,H,0,0,D,27,44,2,1
Sheffield United,Man City,A,0,0,D,35,26,0,1
Watford,Arsenal,A,1,1,D,41,0,0,1
West Ham,Portsmouth,A,0,2,A,43,32,0,0
Charlton,Fulham,D,2,1,H,12,18,1,2
Blackburn,Middlesbrough,H,1,0,H,3,28,2,2
Bolton,Portsmouth,H,2,1,H,5,32,2,2
Charlton,Aston Villa,H,0,1,A,12,1,2,0
Chelsea,Fulham,D,1,1,D,13,18,1,1
Everton,Newcastle,H,1,0,H,17,29,2,2
Man United,Reading,H,1,1,D,27,34,2,1
Sheffield United,Arsenal,H,1,0,H,35,0,2,2
Tottenham,Liverpool,A,0,1,A,40,24,0,0
West Ham,Man City,A,0,0,D,43,26,0,1
Fulham,Watford,D,0,0,D,18,41,1,1
Middlesbrough,Sheffield United,H,1,1,D,28,35,2,1
Newcastle,Man United,D,1,1,D,29,27,1,1
Portsmouth,Tottenham,D,1,0,H,32,40,1,2
Reading,West Ham,H,4,0,H,34,43,2,2
Bolton,Man City,D,0,0,D,5,26,1,1
Charlton,Middlesbrough,A,1,1,D,12,28,0,1
Chelsea,Wigan,H,1,0,H,13,44,2,2
Man United,Aston Villa,H,3,0,H,27,1,2,2
Sheffield United,Portsmouth,D,1,0,H,35,32,1,2
Watford,Liverpool,A,0,2,A,41,24,0,0
West Ham,Fulham,D,1,1,D,43,18,1,1
Everton,Reading,D,0,1,A,17,34,1,0
Tottenham,Newcastle,A,1,1,D,40,29,0,1
Aston Villa,Watford,H,0,0,D,1,41,2,1
Fulham,Tottenham,D,0,0,D,18,40,1,1
Liverpool,Chelsea,H,2,0,H,24,13,2,2
Man City,Blackburn,A,0,1,A,26,3,0,0
Middlesbrough,Bolton,H,4,1,H,28,5,2,2
Newcastle,West Ham,D,1,2,A,29,43,1,0
Portsmouth,Charlton,A,0,0,D,32,12,0,1
Reading,Sheffield United,H,1,0,H,34,35,2,2
Arsenal,Man United,H,0,0,D,0,27,2,1
Wigan,Everton,A,0,0,D,44,17,0,1
Watford,Blackburn,H,1,1,D,41,3,2,1
Portsmouth,Middlesbrough,D,0,0,D,32,28,1,1
Reading,Wigan,H,1,1,D,34,44,2,1
Sheffield United,Fulham,H,2,0,H,35,18,2,2
West Ham,Liverpool,A,0,0,D,43,24,0,1
Bolton,Charlton,D,1,1,D,5,12,1,1
Chelsea,Blackburn,H,1,0,H,13,3,2,2
Man United,Watford,H,1,0,H,27,41,2,2
Newcastle,Aston Villa,H,2,1,H,29,1,2,2
Blackburn,Sheffield United,H,1,1,D,3,35,2,1
Man City,Reading,A,0,0,D,26,34,0,1
Middlesbrough,Arsenal,D,0,0,D,28,0,1,1
Watford,Bolton,A,0,0,D,41,5,0,1
Wigan,Portsmouth,H,0,0,D,44,32,2,1
Newcastle,Liverpool,H,1,1,D,29,24,2,1
Portsmouth,Man City,H,1,0,H,32,26,2,2
Reading,Aston Villa,H,1,0,H,34,1,2,2
Sheffield United,Tottenham,H,1,1,D,35,40,2,1
West Ham,Watford,A,0,1,A,43,41,0,0
Arsenal,Wigan,H,0,1,A,0,44,2,0
Bolton,Fulham,H,1,0,H,5,18,2,2
Everton,Tottenham,A,1,1,D,17,40,0,1
Watford,Wigan,D,1,1,D,41,44,1,1
Charlton,West Ham,H,3,0,H,12,43,2,2
Fulham,Man United,A,1,1,D,18,27,0,1
Liverpool,Sheffield United,H,2,0,H,24,35,2,2
Middlesbrough,Reading,H,1,0,H,28,34,2,2
Watford,Everton,A,0,2,A,41,17,0,0
Blackburn,Portsmouth,H,2,0,H,3,32,2,2
Tottenham,Bolton,H,3,1,H,40,5,2,2
Arsenal,Reading,H,0,0,D,0,34,2,1
Fulham,Aston Villa,D,1,1,D,18,1,1,1
Man City,Wigan,A,0,1,A,26,44,0,0
Newcastle,Middlesbrough,D,0,0,D,29,28,1,1
Sheffield United,Everton,D,0,0,D,35,17,1,1
Watford,Charlton,D,2,0,H,41,12,1,2
Bolton,Blackburn,A,0,0,D,5,3,0,1
West Ham,Tottenham,A,2,0,H,43,40,0,2
Man City,Chelsea,A,0,1,A,26,13,0,0
Blackburn,West Ham,A,0,0,D,3,43,0,1
Chelsea,Sheffield United,H,2,0,H,13,35,2,2
Man United,Bolton,H,3,0,H,27,5,2,2
Middlesbrough,Man City,A,0,0,D,28,26,0,1
Reading,Portsmouth,D,0,0,D,34,32,1,1
Tottenham,Watford,H,1,0,H,40,41,2,2
Wigan,Fulham,D,0,0,D,44,18,1,1
Charlton,Newcastle,H,0,0,D,12,29,2,1
Bolton,Sheffield United,H,0,0,D,5,35,2,1
Charlton,Wigan,H,0,0,D,12,44,2,1
Fulham,Portsmouth,D,0,1,A,18,32,1,0
Liverpool,Arsenal,H,2,0,H,24,0,2,2
Man United,Blackburn,H,0,1,A,27,3,2,0
Watford,Chelsea,A,0,0,D,41,13,0,1
West Ham,Middlesbrough,H,2,0,H,43,28,2,2
Tottenham,Reading,H,1,0,H,40,34,2,2
Aston Villa,Everton,D,0,1,A,1,17,1,0
Everton,Fulham,H,3,1,H,17,18,2,2
Man City,Charlton,D,0,0,D,26,12,1,1
Arsenal,West Ham,A,0,1,A,0,43,0,0
Blackburn,Aston Villa,A,1,1,D,3,1,0,1
Chelsea,Tottenham,H,0,0,D,13,40,2,1
Middlesbrough,Watford,H,2,1,H,28,41,2,2
Portsmouth,Man United,H,1,0,H,32,27,2,2
Reading,Liverpool,A,0,1,A,34,24,0,0
Sheffield United,Newcastle,A,0,1,A,35,29,0,0
Wigan,Bolton,A,1,1,D,44,5,0,1
Aston Villa,Wigan,D,0,1,A,1,44,1,0
Charlton,Reading,D,0,0,D,12,34,1,1
Fulham,Man City,A,0,2,A,18,26,0,0
Watford,Portsmouth,H,2,1,H,41,32,2,2
Arsenal,Bolton,H,1,1,D,0,5,2,1
Man City,Liverpool,D,0,0,D,26,24,1,1
Portsmouth,Newcastle,H,1,0,H,32,29,2,2
Reading,Fulham,H,1,0,H,34,18,2,2
Sheffield United,West Ham,H,1,0,H,35,43,2,2
Wigan,Tottenham,D,2,2,D,44,40,1,1
Arsenal,Man City,H,1,1,D,0,26,2,1
Man United,Sheffield United,H,1,0,H,27,35,2,2
Blackburn,Watford,H,3,1,H,3,41,2,2
West Ham,Chelsea,A,1,2,A,43,13,0,0
Bolton,Reading,A,0,0,D,5,34,0,1
Charlton,Sheffield United,D,0,0,D,12,35,1,1
Fulham,Blackburn,D,1,0,H,18,3,1,2
Liverpool,Wigan,H,1,0,H,24,44,2,2
Man United,Middlesbrough,D,1,1,D,27,28,1,1
Watford,Man City,D,0,0,D,41,26,1,1
West Ham,Everton,H,1,0,H,43,17,2,2
Aston Villa,Portsmouth,D,0,0,D,1,32,1,1
Blackburn,Charlton,H,0,0,D,3,12,2,1
Chelsea,Bolton,D,2,1,H,13,5,1,2
Everton,Man United,A,1,0,H,17,27,0,2
Man City,Aston Villa,A,0,1,A,26,1,0,0
Middlesbrough,Tottenham,A,0,1,A,28,40,0,0
Portsmouth,Liverpool,H,2,0,H,32,24,2,2
Sheffield United,Watford,H,1,0,H,35,41,2,2
Wigan,West Ham,A,0,1,A,44,43,0,0
Reading,Newcastle,H,0,0,D,34,29,2,1
Aston Villa,Sheffield United,H,2,0,H,1,35,2,2
Fulham,Liverpool,H,0,0,D,18,24,2,1
Newcastle,Blackburn,A,0,1,A,29,3,0,0
Reading,Watford,A,0,0,D,34,41,0,1
West Ham,Bolton,H,3,0,H,43,5,2,2
Wigan,Middlesbrough,A,0,1,A,44,28,0,0
Chelsea,Man United,D,0,0,D,13,27,1,1
Tottenham,Blackburn,D,0,1,A,40,3,1,0
Blackburn,Reading,D,1,1,D,3,34,1,1
Bolton,Aston Villa,D,1,1,D,5,1,1,1
Chelsea,Everton,D,0,0,D,13,17,1,1
Liverpool,Charlton,D,0,1,A,24,12,1,0
Man United,West Ham,A,0,1,A,27,43,0,0
Middlesbrough,Fulham,H,2,1,H,28,18,2,2
Portsmouth,Arsenal,D,0,0,D,32,0,1,1
Sheffield United,Wigan,A,1,2,A,35,44,0,0
Tottenham,Man City,H,2,1,H,40,26,2,2
Watford,Newcastle,D,0,1,A,41,29,1,0
Aston Villa,Liverpool,A,0,1,A,1,24,0,0
Bolton,Newcastle,A,0,3,A,5,29,0,0
Derby,Portsmouth,D,1,1,D,16,32,1,1
Everton,Wigan,H,1,0,H,17,44,2,2
Middlesbrough,Blackburn,A,1,0,H,28,3,0,2
West Ham,Man City,A,0,1,A,43,26,0,0
Arsenal,Fulham,H,0,1,A,0,18,2,0
Chelsea,Birmingham,H,2,2,D,13,2,2,1
Man United,Reading,D,0,0,D,27,34,1,1
Tottenham,Everton,A,1,3,A,40,17,0,0
Birmingham,Sunderland,D,1,0,H,2,38,1,2
Fulham,Bolton,H,2,1,H,18,5,2,2
Man City,Derby,H,1,0,H,26,16,2,2
Portsmouth,Man United,D,0,1,A,32,27,1,0
Reading,Chelsea,A,1,0,H,34,13,0,2
Wigan,Middlesbrough,H,0,0,D,44,28,2,1
Birmingham,West Ham,A,0,0,D,2,43,0,1
Fulham,Middlesbrough,A,1,0,H,18,28,0,2
Newcastle,Aston Villa,D,0,0,D,29,1,1,1
Portsmouth,Bolton,H,2,1,H,32,5,2,2
Reading,Everton,H,1,0,H,34,17,2,2
Tottenham,Derby,H,3,0,H,40,16,2,2
Blackburn,Arsenal,D,0,1,A,3,0,1,0
Liverpool,Chelsea,D,1,0,H,24,13,1,2
Man City,Man United,H,1,0,H,26,27,2,2
Aston Villa,Fulham,H,0,1,A,1,18,2,0
Bolton,Reading,H,1,0,H,5,34,2,2
